Date,TRDPRC_1
2010-01-04,81.65
2010-01-05,81.48
2010-01-06,83.24
2010-01-07,82.7
2010-01-08,82.94
2010-01-11,82.03
2010-01-12,80.12
2010-01-13,79.62
2010-01-14,79.15
2010-01-15,77.95
2010-01-19,78.88
2010-01-20,77.15
2010-01-21,75.8
2010-01-22,74.09
2010-01-25,75.19
2010-01-26,74.62
2010-01-27,73.75
2010-01-28,73.89
2010-01-29,72.64
2010-02-01,74.99
2010-02-02,77.0
2010-02-03,77.09
2010-02-04,72.97
2010-02-05,71.89
2010-02-08,71.7
2010-02-09,73.82
2010-02-10,74.7
2010-02-11,75.36
2010-02-12,74.2
2010-02-16,77.4
2010-02-17,77.37
2010-02-18,78.38
2010-02-19,80.07
2010-02-22,80.2
2010-02-23,79.13
2010-02-24,80.34
2010-02-25,78.36
2010-02-26,79.61
2010-03-01,78.88
2010-03-02,79.61
2010-03-03,81.01
2010-03-04,80.62
2010-03-05,81.79
2010-03-08,81.8
2010-03-09,81.37
2010-03-10,82.0
2010-03-11,82.25
2010-03-12,81.08
2010-03-15,79.89
2010-03-16,82.07
2010-03-17,82.89
2010-03-18,82.19
2010-03-19,80.63
2010-03-22,81.25
2010-03-23,81.64
2010-03-24,80.24
2010-03-25,80.16
2010-03-26,80.15
2010-03-29,82.5
2010-03-30,82.55
2010-03-31,83.38
2010-04-01,85.31
2010-04-05,86.83
2010-04-06,86.77
2010-04-07,85.64
2010-04-08,85.59
2010-04-09,84.96
2010-04-12,84.35
2010-04-13,83.83
2010-04-14,85.92
2010-04-15,85.3
2010-04-16,82.92
2010-04-19,81.96
2010-04-20,82.98
2010-04-21,83.42
2010-04-22,83.76
2010-04-23,85.09
2010-04-26,83.88
2010-04-27,81.83
2010-04-28,83.3
2010-04-29,85.63
2010-04-30,86.22
2010-05-03,86.0
2010-05-04,82.07
2010-05-05,79.55
2010-05-06,76.78
2010-05-07,75.41
2010-05-10,77.28
2010-05-11,76.06
2010-05-12,75.53
2010-05-13,73.9
2010-05-14,72.05
2010-05-17,70.52
2010-05-18,69.17
2010-05-19,71.05
2010-05-20,68.28
2010-05-21,70.55
2010-05-24,70.0
2010-05-25,69.96
2010-05-26,70.85
2010-05-27,74.9
2010-05-28,74.09
2010-06-01,71.9
2010-06-02,73.7
2010-06-03,74.65
2010-06-04,70.91
2010-06-07,71.13
2010-06-08,72.49
2010-06-09,73.9
2010-06-10,75.43
2010-06-11,74.2
2010-06-14,74.75
2010-06-15,77.07
2010-06-16,77.5
2010-06-17,76.61
2010-06-18,77.35
2010-06-21,77.25
2010-06-22,77.2
2010-06-23,76.06
2010-06-24,76.57
2010-06-25,79.19
2010-06-28,78.17
2010-06-29,75.42
2010-06-30,75.37
2010-07-01,72.64
2010-07-02,72.27
2010-07-06,72.03
2010-07-07,74.92
2010-07-08,75.93
2010-07-09,76.45
2010-07-12,75.04
2010-07-13,77.24
2010-07-14,76.76
2010-07-15,76.91
2010-07-16,75.8
2010-07-19,76.43
2010-07-20,77.32
2010-07-21,76.42
2010-07-22,79.23
2010-07-23,78.89
2010-07-26,78.84
2010-07-27,77.08
2010-07-28,76.84
2010-07-29,78.25
2010-07-30,78.99
2010-08-02,81.46
2010-08-03,82.48
2010-08-04,82.44
2010-08-05,82.21
2010-08-06,80.88
2010-08-09,81.43
2010-08-10,80.26
2010-08-11,77.34
2010-08-12,75.72
2010-08-13,75.57
2010-08-16,75.06
2010-08-17,75.49
2010-08-18,75.19
2010-08-19,74.44
2010-08-20,73.45
2010-08-23,72.89
2010-08-24,71.46
2010-08-25,72.89
2010-08-26,73.11
2010-08-27,75.57
2010-08-30,74.08
2010-08-31,71.68
2010-09-01,73.95
2010-09-02,74.91
2010-09-03,74.34
2010-09-07,73.78
2010-09-08,74.97
2010-09-09,74.29
2010-09-10,76.39
2010-09-13,77.15
2010-09-14,76.66
2010-09-15,75.82
2010-09-16,74.5
2010-09-17,73.54
2010-09-20,74.68
2010-09-21,72.96
2010-09-22,74.89
2010-09-23,74.93
2010-09-24,76.5
2010-09-27,76.2
2010-09-28,76.24
2010-09-29,77.95
2010-09-30,79.77
2010-10-01,81.73
2010-10-04,81.31
2010-10-05,82.64
2010-10-06,83.3
2010-10-07,81.4
2010-10-08,82.84
2010-10-11,81.97
2010-10-12,81.65
2010-10-13,83.21
2010-10-14,82.83
2010-10-15,81.48
2010-10-18,83.01
2010-10-19,79.29
2010-10-20,81.93
2010-10-21,80.78
2010-10-22,81.91
2010-10-25,82.4
2010-10-26,82.47
2010-10-27,81.96
2010-10-28,81.92
2010-10-29,81.45
2010-11-01,82.94
2010-11-02,84.46
2010-11-03,85.03
2010-11-04,86.61
2010-11-05,87.4
2010-11-08,86.71
2010-11-09,86.4
2010-11-10,87.87
2010-11-11,87.71
2010-11-12,84.73
2010-11-15,84.52
2010-11-16,82.3
2010-11-17,80.36
2010-11-18,82.25
2010-11-19,81.65
2010-11-22,81.58
2010-11-23,80.97
2010-11-24,84.24
2010-11-26,83.87
2010-11-29,85.89
2010-11-30,83.59
2010-12-01,86.81
2010-12-02,87.95
2010-12-03,89.44
2010-12-06,88.82
2010-12-07,88.27
2010-12-08,88.51
2010-12-09,88.59
2010-12-10,87.82
2010-12-13,88.16
2010-12-14,88.3
2010-12-15,88.35
2010-12-16,87.81
2010-12-17,88.21
2010-12-20,88.66
2010-12-21,90.02
2010-12-22,90.62
2010-12-23,91.41
2010-12-27,90.71
2010-12-28,91.25
2010-12-29,90.95
2010-12-30,89.61
2010-12-31,91.4
2011-01-03,91.54
2011-01-04,89.23
2011-01-05,90.4
2011-01-06,88.08
2011-01-07,88.48
2011-01-10,89.35
2011-01-11,91.23
2011-01-12,91.97
2011-01-13,90.95
2011-01-14,91.67
2011-01-18,91.26
2011-01-19,90.7
2011-01-20,88.56
2011-01-21,89.1
