Date,TRDPRC_1
2010-01-04,2.1965
2010-01-05,2.1786
2010-01-06,2.2055
2010-01-07,2.187
2010-01-08,2.2065
2010-01-11,2.1683
2010-01-12,2.112
2010-01-13,2.098
2010-01-14,2.076
2010-01-15,2.0493
2010-01-19,2.044
2010-01-20,2.0241
2010-01-21,1.9823
2010-01-22,1.9345
2010-01-25,1.964
2010-01-26,1.9509
2010-01-27,1.918
2010-01-28,1.926
2010-01-29,1.9015
2010-02-01,1.9681
2010-02-02,2.0274
2010-02-03,2.024
2010-02-04,1.9274
2010-02-05,1.8955
2010-02-08,1.885
2010-02-09,1.9365
2010-02-10,1.9525
2010-02-11,1.9657
2010-02-12,1.9242
2010-02-16,2.0015
2010-02-17,2.005
2010-02-18,2.0399
2010-02-19,2.0767
2010-02-22,2.075
2010-02-23,2.0385
2010-02-24,2.0529
2010-02-25,1.992
2010-02-26,2.0222
2010-03-01,2.0327
2010-03-02,2.0588
2010-03-03,2.096
2010-03-04,2.0798
2010-03-05,2.106
2010-03-08,2.1053
2010-03-09,2.0906
2010-03-10,2.116
2010-03-11,2.1191
2010-03-12,2.095
2010-03-15,2.062
2010-03-16,2.123
2010-03-17,2.139
2010-03-18,2.1183
2010-03-19,2.082
2010-03-22,2.0875
2010-03-23,2.1016
2010-03-24,2.062
2010-03-25,2.0619
2010-03-26,2.0765
2010-03-29,2.124
2010-03-30,2.1275
2010-03-31,2.1691
2010-04-01,2.2266
2010-04-05,2.2708
2010-04-06,2.2603
2010-04-07,2.2405
2010-04-08,2.2341
2010-04-09,2.226
2010-04-12,2.2192
2010-04-13,2.2074
2010-04-14,2.2422
2010-04-15,2.2515
2010-04-16,2.2125
2010-04-19,2.169
2010-04-20,2.1898
2010-04-21,2.207
2010-04-22,2.211
2010-04-23,2.2525
2010-04-26,2.233
2010-04-27,2.2185
2010-04-28,2.2247
2010-04-29,2.263
2010-04-30,2.2899
2010-05-03,2.3405
2010-05-04,2.2495
2010-05-05,2.1796
2010-05-06,2.1065
2010-05-07,2.093
2010-05-10,2.13
2010-05-11,2.1336
2010-05-12,2.1617
2010-05-13,2.1295
2010-05-14,2.068
2010-05-17,1.9979
2010-05-18,1.9584
2010-05-19,1.9452
2010-05-20,1.885
2010-05-21,1.912
2010-05-24,1.901
2010-05-25,1.8951
2010-05-26,1.918
2010-05-27,2.0045
2010-05-28,1.9904
2010-06-01,1.9598
2010-06-02,2.0239
2010-06-03,2.0355
2010-06-04,1.949
2010-06-07,1.9566
2010-06-08,1.967
2010-06-09,1.9958
2010-06-10,2.0384
2010-06-11,2.0181
2010-06-14,2.0115
2010-06-15,2.0685
2010-06-16,2.1112
2010-06-17,2.1442
2010-06-18,2.1341
2010-06-21,2.1371
2010-06-22,2.1075
2010-06-23,2.0575
2010-06-24,2.0594
2010-06-25,2.1175
2010-06-28,2.0922
2010-06-29,2.0075
2010-06-30,1.9872
2010-07-01,1.932
2010-07-02,1.9204
2010-07-06,1.928
2010-07-07,1.9965
2010-07-08,2.0171
2010-07-09,2.0362
2010-07-12,1.9945
2010-07-13,2.0465
2010-07-14,2.03
2010-07-15,2.0283
2010-07-16,2.01
2010-07-19,2.0158
2010-07-20,2.0312
2010-07-21,1.9901
2010-07-22,2.06
2010-07-23,2.0498
2010-07-26,2.042
2010-07-27,1.9905
2010-07-28,1.995
2010-07-29,2.0348
2010-07-30,2.0518
2010-08-02,2.158
2010-08-03,2.1978
2010-08-04,2.2
2010-08-05,2.1939
2010-08-06,2.1525
2010-08-09,2.1562
2010-08-10,2.125
2010-08-11,2.0591
2010-08-12,2.0015
2010-08-13,2.0037
2010-08-16,1.9857
2010-08-17,2.02
2010-08-18,2.021
2010-08-19,2.0037
2010-08-20,1.975
2010-08-23,1.9571
2010-08-24,1.932
2010-08-25,1.98
2010-08-26,2.0033
2010-08-27,2.0543
2010-08-30,2.015
2010-08-31,1.973
2010-09-01,2.0391
2010-09-02,2.057
2010-09-03,2.0516
2010-09-07,2.0648
2010-09-08,2.0829
2010-09-09,2.0632
2010-09-10,2.1014
2010-09-13,2.1211
2010-09-14,2.126
2010-09-15,2.126
2010-09-16,2.0959
2010-09-17,2.1005
2010-09-20,2.14
2010-09-21,2.1103
2010-09-22,2.1093
2010-09-23,2.1088
2010-09-24,2.1298
2010-09-27,2.117
2010-09-28,2.133
2010-09-29,2.1952
2010-09-30,2.2515
2010-10-01,2.2981
2010-10-04,2.2833
2010-10-05,2.299
2010-10-06,2.3101
2010-10-07,2.252
2010-10-08,2.2893
2010-10-11,2.2783
2010-10-12,2.261
2010-10-13,2.3011
2010-10-14,2.285
2010-10-15,2.2351
2010-10-18,2.2724
2010-10-19,2.1862
2010-10-20,2.2535
2010-10-21,2.22
2010-10-22,2.26
2010-10-25,2.256
2010-10-26,2.2444
2010-10-27,2.2391
2010-10-28,2.2386
2010-10-29,2.2184
2010-11-01,2.275
