Date,TRDPRC_1
2010-01-04,80.48
2010-01-05,80.2
2010-01-06,81.96
2010-01-07,81.38
2010-01-08,81.43
2010-01-11,80.64
2010-01-12,78.6
2010-01-13,78.32
2010-01-14,77.8
2010-01-15,77.2
2010-01-18,77.13
2010-01-19,77.76
2010-01-20,76.1
2010-01-21,74.3
2010-01-22,72.38
2010-01-25,73.71
2010-01-26,73.15
2010-01-27,72.34
2010-01-28,72.36
2010-01-29,71.18
2010-02-01,73.28
2010-02-02,75.89
2010-02-03,75.87
2010-02-04,71.67
2010-02-05,70.3
2010-02-08,69.92
2010-02-09,72.0
2010-02-10,72.69
2010-02-11,73.05
2010-02-12,72.9
2010-02-15,72.63
2010-02-16,75.91
2010-02-17,76.19
2010-02-18,77.38
2010-02-19,78.45
2010-02-22,78.37
2010-02-23,77.37
2010-02-24,78.5
2010-02-25,76.45
2010-02-26,77.65
2010-03-01,77.07
2010-03-02,78.24
2010-03-03,79.5
2010-03-04,79.02
2010-03-05,80.08
2010-03-08,80.44
2010-03-09,79.8
2010-03-10,80.42
2010-03-11,80.39
2010-03-12,79.46
2010-03-15,77.91
2010-03-16,79.19
2010-03-17,81.85
2010-03-18,81.41
2010-03-19,79.8
2010-03-22,80.8
2010-03-23,80.32
2010-03-24,79.3
2010-03-25,79.34
2010-03-26,79.36
2010-03-29,81.55
2010-03-30,81.48
2010-03-31,82.27
2010-04-01,84.42
2010-04-05,86.09
2010-04-06,86.15
2010-04-07,85.45
2010-04-08,85.2
2010-04-09,84.93
2010-04-12,84.57
2010-04-13,84.48
2010-04-14,86.21
2010-04-15,87.17
2010-04-16,85.66
2010-04-19,84.5
2010-04-20,85.05
2010-04-21,85.69
2010-04-22,85.67
2010-04-23,87.21
2010-04-26,86.62
2010-04-27,85.2
2010-04-28,86.3
2010-04-29,87.15
2010-04-30,87.47
2010-05-03,88.82
2010-05-04,85.2
2010-05-05,82.34
2010-05-06,79.83
2010-05-07,78.58
2010-05-10,80.64
2010-05-11,80.38
2010-05-12,81.2
2010-05-13,79.7
2010-05-14,77.2
2010-05-17,75.65
2010-05-18,74.32
2010-05-19,73.66
2010-05-20,70.83
2010-05-21,72.11
2010-05-24,71.0
2010-05-25,70.61
2010-05-26,71.13
2010-05-27,74.95
2010-05-28,74.2
2010-05-31,74.6
2010-06-01,72.0
2010-06-02,74.54
2010-06-03,75.45
2010-06-04,71.66
2010-06-07,71.69
2010-06-08,72.51
2010-06-09,73.6
2010-06-10,75.31
2010-06-11,74.79
2010-06-14,74.73
2010-06-15,76.21
2010-06-16,78.12
2010-06-17,78.59
2010-06-18,78.42
2010-06-21,78.22
