Date,TRDPRC_1
2010-01-04,2.1142
2010-01-05,2.1059
2010-01-06,2.1409
2010-01-07,2.1369
2010-01-08,2.1629
2010-01-11,2.133
2010-01-12,2.0723
2010-01-13,2.061
2010-01-14,2.0703
2010-01-15,2.0454
2010-01-19,2.062
2010-01-20,2.0403
2010-01-21,1.9843
2010-01-22,1.9577
2010-01-25,1.9982
2010-01-26,1.9723
2010-01-27,1.943
2010-01-28,1.925
2010-01-29,1.9039
2010-02-01,1.946
2010-02-02,2.0215
2010-02-03,2.036
2010-02-04,1.9392
2010-02-05,1.907
2010-02-08,1.8905
2010-02-09,1.934
2010-02-10,1.9325
2010-02-11,1.937
2010-02-12,1.9295
2010-02-16,1.9998
2010-02-17,2.005
2010-02-18,2.054
2010-02-19,2.0919
2010-02-22,2.1173
2010-02-23,2.0695
2010-02-24,2.0998
2010-02-25,2.0424
2010-02-26,2.0879
2010-03-01,2.1617
2010-03-02,2.1962
2010-03-03,2.2479
2010-03-04,2.2455
2010-03-05,2.2805
2010-03-08,2.2786
2010-03-09,2.2635
2010-03-10,2.2785
2010-03-11,2.2767
2010-03-12,2.255
2010-03-15,2.2255
2010-03-16,2.2859
2010-03-17,2.31
2010-03-18,2.3047
2010-03-19,2.257
2010-03-22,2.2612
2010-03-23,2.2575
2010-03-24,2.214
2010-03-25,2.21
2010-03-26,2.2129
2010-03-29,2.2715
2010-03-30,2.2781
2010-03-31,2.3212
2010-04-01,2.3346
2010-04-05,2.3541
2010-04-06,2.3521
2010-04-07,2.3085
2010-04-08,2.3028
2010-04-09,2.2908
2010-04-12,2.2972
2010-04-13,2.296
2010-04-14,2.3329
2010-04-15,2.3224
2010-04-16,2.2727
2010-04-19,2.2595
2010-04-20,2.2902
2010-04-21,2.281
2010-04-22,2.3
2010-04-23,2.35
2010-04-26,2.341
2010-04-27,2.3157
2010-04-28,2.3285
2010-04-29,2.3696
2010-04-30,2.4
2010-05-03,2.423
2010-05-04,2.305
2010-05-05,2.213
2010-05-06,2.1495
2010-05-07,2.1318
2010-05-10,2.184
2010-05-11,2.1894
2010-05-12,2.2085
2010-05-13,2.1833
2010-05-14,2.1374
2010-05-17,2.06
2010-05-18,2.0381
2010-05-19,2.017
2010-05-20,1.9422
2010-05-21,1.974
2010-05-24,1.9643
2010-05-25,1.9627
2010-05-26,1.96
2010-05-27,2.0451
2010-05-28,2.0336
2010-06-01,1.9727
2010-06-02,2.045
2010-06-03,2.08
2010-06-04,1.9916
2010-06-07,1.9831
2010-06-08,1.9895
2010-06-09,2.023
2010-06-10,2.0776
2010-06-11,2.059
2010-06-14,2.066
2010-06-15,2.1193
2010-06-16,2.1481
2010-06-17,2.161
2010-06-18,2.1575
2010-06-21,2.136
2010-06-22,2.1253
2010-06-23,2.0775
2010-06-24,2.0905
2010-06-25,2.1659
2010-06-28,2.135
2010-06-29,2.0662
2010-06-30,2.0736
2010-07-01,1.991
2010-07-02,1.9815
2010-07-06,1.9775
2010-07-07,2.0425
2010-07-08,2.0645
2010-07-09,2.0763
2010-07-12,2.03
2010-07-13,2.0815
2010-07-14,2.0635
2010-07-15,2.0677
2010-07-16,2.0438
2010-07-19,2.059
2010-07-20,2.086
2010-07-21,2.0655
2010-07-22,2.1408
2010-07-23,2.1175
2010-07-26,2.104
2010-07-27,2.0513
2010-07-28,2.0598
2010-07-29,2.0951
2010-07-30,2.1207
2010-08-02,2.1735
2010-08-03,2.19
2010-08-04,2.175
2010-08-05,2.1675
2010-08-06,2.1128
2010-08-09,2.1207
2010-08-10,2.0893
2010-08-11,1.98
2010-08-12,1.9575
2010-08-13,1.9435
2010-08-16,1.9271
2010-08-17,1.9436
2010-08-18,1.9567
2010-08-19,1.9325
2010-08-20,1.9251
2010-08-23,1.882
2010-08-24,1.8476
2010-08-25,1.88
2010-08-26,1.9027
2010-08-27,1.9585
2010-08-30,1.9289
2010-08-31,1.8688
2010-09-01,1.8871
2010-09-02,1.9198
2010-09-03,1.9153
2010-09-07,1.9253
2010-09-08,1.9415
2010-09-09,1.9303
2010-09-10,1.9745
2010-09-13,1.981
2010-09-14,1.9673
2010-09-15,1.9535
2010-09-16,1.9285
2010-09-17,1.9189
2010-09-20,1.9525
2010-09-21,1.9123
2010-09-22,1.9021
2010-09-23,1.9155
2010-09-24,1.948
2010-09-27,1.9436
2010-09-28,1.9476
2010-09-29,1.9957
2010-09-30,2.0488
2010-10-01,2.094
2010-10-04,2.0885
2010-10-05,2.1236
2010-10-06,2.1591
2010-10-07,2.1174
2010-10-08,2.1533
2010-10-11,2.1551
2010-10-12,2.1244
2010-10-13,2.1616
2010-10-14,2.14
2010-10-15,2.105
2010-10-18,2.15
2010-10-19,2.0368
2010-10-20,2.0872
2010-10-21,2.05
2010-10-22,2.0705
2010-10-25,2.0731
2010-10-26,2.0861
2010-10-27,2.102
2010-10-28,2.1066
2010-10-29,2.1145
2010-11-01,2.0916
2010-11-02,2.1223
2010-11-03,2.1402
2010-11-04,2.1779
2010-11-05,2.1922
2010-11-08,2.1727
2010-11-09,2.18
2010-11-10,2.2332
2010-11-11,2.238
2010-11-12,2.2126
2010-11-15,2.1979
2010-11-16,2.1585
2010-11-17,2.1632
2010-11-18,2.2344
2010-11-19,2.185
2010-11-22,2.1425
2010-11-23,2.131
2010-11-24,2.2224
2010-11-26,2.2116
2010-11-29,2.2842
2010-11-30,2.243
2010-12-01,2.2995
2010-12-02,2.3476
2010-12-03,2.3576
2010-12-06,2.3301
2010-12-07,2.3053
2010-12-08,2.31
2010-12-09,2.3398
2010-12-10,2.314
2010-12-13,2.3047
2010-12-14,2.2931
2010-12-15,2.305
2010-12-16,2.3049
2010-12-17,2.322
2010-12-20,2.3726
2010-12-21,2.413
2010-12-22,2.425
2010-12-23,2.44
2010-12-27,2.414
2010-12-28,2.4085
2010-12-29,2.4002
2010-12-30,2.391
2010-12-31,2.4368
2011-01-03,2.4277
2011-01-04,2.3965
2011-01-05,2.4548
2011-01-06,2.4467
2011-01-07,2.4285
2011-01-10,2.4572
2011-01-11,2.4647
2011-01-12,2.4657
2011-01-13,2.4542
2011-01-14,2.4919
2011-01-18,2.4779
2011-01-19,2.4773
2011-01-20,2.4206
2011-01-21,2.463
2011-01-24,2.4137
2011-01-25,2.347
2011-01-26,2.4323
2011-01-27,2.3851
2011-01-28,2.4545
2011-01-31,2.4681
2011-02-01,2.512
2011-02-02,2.4952
2011-02-03,2.5015
2011-02-04,2.4459
2011-02-07,2.4505
2011-02-08,2.4985
2011-02-09,2.5283
2011-02-10,2.4931
2011-02-11,2.485
2011-02-14,2.5184
2011-02-15,2.4882
2011-02-16,2.545
2011-02-17,2.5318
2011-02-18,2.5542
2011-02-22,2.621
2011-02-23,2.7425
2011-02-24,2.705
2011-02-25,2.739
2011-02-28,2.7301
2011-03-01,3.0131
2011-03-02,3.025
2011-03-03,3.022
2011-03-04,3.0482
2011-03-07,2.995
2011-03-08,2.9467
2011-03-09,3.027
2011-03-10,3.014
2011-03-11,2.9842
2011-03-14,2.9625
2011-03-15,2.8028
2011-03-16,2.8466
2011-03-17,2.9542
2011-03-18,2.965
2011-03-21,2.9888
2011-03-22,3.0189
2011-03-23,3.0164
2011-03-24,3.047
2011-03-25,3.0575
2011-03-28,3.028
2011-03-29,3.0442
2011-03-30,3.0676
2011-03-31,3.1199
2011-04-01,3.162
2011-04-04,3.1585
2011-04-05,3.1873
2011-04-06,3.1889
2011-04-07,3.1849
2011-04-08,3.265
2011-04-11,3.1925
2011-04-12,3.1765
2011-04-13,3.2461
2011-04-14,3.2392
2011-04-15,3.2918
2011-04-18,3.2577
2011-04-19,3.226
2011-04-20,3.2701
2011-04-21,3.3179
2011-04-25,3.3225
2011-04-26,3.356
2011-04-27,3.44
2011-04-28,3.4299
2011-04-29,3.4748
2011-05-02,3.3328
2011-05-03,3.3174
2011-05-04,3.3136
2011-05-05,3.109
2011-05-06,3.125
2011-05-09,3.3
2011-05-10,3.321
2011-05-11,3.1179
2011-05-12,3.0535
2011-05-13,3.078
2011-05-16,2.9192
2011-05-17,2.9416
2011-05-18,2.9404
2011-05-19,2.9065
2011-05-20,2.946
2011-05-23,2.9336
2011-05-24,2.977
2011-05-25,3.02
2011-05-26,3.0483
2011-05-27,3.1005
2011-05-31,3.13
2011-06-01,2.983
2011-06-02,2.9824
2011-06-03,3.0
2011-06-06,2.947
2011-06-07,2.99
2011-06-08,2.9745
2011-06-09,3.0372
2011-06-10,3.01
2011-06-13,3.0027
2011-06-14,3.0565
2011-06-15,2.9519
2011-06-16,2.9515
2011-06-17,2.946
2011-06-20,2.909
2011-06-21,2.8812
2011-06-22,2.9546
2011-06-23,2.8735
2011-06-24,2.7845
2011-06-27,2.8175
2011-06-28,2.8939
2011-06-29,3.0074
2011-06-30,3.0384
2011-07-01,2.965
2011-07-05,2.9786
2011-07-06,3.012
2011-07-07,3.1196
2011-07-08,3.0985
2011-07-11,3.067
2011-07-12,3.0825
2011-07-13,3.1429
2011-07-14,3.1253
2011-07-15,3.1425
2011-07-18,3.1026
2011-07-19,3.119
2011-07-20,3.1472
2011-07-21,3.104
2011-07-22,3.1389
2011-07-25,3.1239
2011-07-26,3.157
2011-07-27,3.1526
2011-07-28,3.1218
2011-07-29,3.1072
2011-08-01,3.0484
2011-08-02,3.0121
2011-08-03,2.936
2011-08-04,2.749
2011-08-05,2.821
2011-08-08,2.706
2011-08-09,2.7375
2011-08-10,2.7712
2011-08-11,2.8225
2011-08-12,2.817
2011-08-15,2.8685
2011-08-16,2.8734
2011-08-17,2.8771
2011-08-18,2.7735
2011-08-19,2.8675
2011-08-22,2.8335
2011-08-23,2.8838
2011-08-24,2.88
2011-08-25,2.9601
2011-08-26,2.9423
2011-08-29,2.906
2011-08-30,2.9986
2011-08-31,3.03
2011-09-01,2.8875
2011-09-02,2.8402
2011-09-06,2.8259
2011-09-07,2.9124
2011-09-08,2.8698
2011-09-09,2.7675
2011-09-12,2.7535
2011-09-13,2.73
2011-09-14,2.7208
2011-09-15,2.7802
2011-09-16,2.78
2011-09-19,2.7022
2011-09-20,2.7
2011-09-21,2.6425
2011-09-22,2.5639
2011-09-23,2.563
2011-09-26,2.6
2011-09-27,2.6865
2011-09-28,2.644
2011-09-29,2.6617
2011-09-30,2.608
2011-10-03,2.5072
2011-10-04,2.552
2011-10-05,2.5799
2011-10-06,2.6793
2011-10-07,2.6539
2011-10-10,2.7185
2011-10-11,2.7402
2011-10-12,2.7463
2011-10-13,2.7665
2011-10-14,2.8379
2011-10-17,2.7425
2011-10-18,2.7608
2011-10-19,2.6688
2011-10-20,2.6775
2011-10-21,2.69
2011-10-24,2.68
2011-10-25,2.6956
2011-10-26,2.655
2011-10-27,2.7433
2011-10-28,2.685
2011-10-31,2.6463
2011-11-01,2.6152
2011-11-02,2.6273
2011-11-03,2.644
2011-11-04,2.6852
2011-11-07,2.7325
2011-11-08,2.7154
2011-11-09,2.6442
2011-11-10,2.6215
2011-11-11,2.6067
2011-11-14,2.5353
2011-11-15,2.5902
2011-11-16,2.598
2011-11-17,2.5025
2011-11-18,2.4903
2011-11-21,2.5007
2011-11-22,2.5302
2011-11-23,2.5107
2011-11-25,2.4756
2011-11-28,2.509
2011-11-29,2.5345
2011-11-30,2.553
2011-12-01,2.6052
2011-12-02,2.631
2011-12-05,2.6012
2011-12-06,2.6326
2011-12-07,2.5852
2011-12-08,2.5578
2011-12-09,2.6025
2011-12-12,2.5749
2011-12-13,2.6279
2011-12-14,2.5014
2011-12-15,2.49
2011-12-16,2.4925
2011-12-19,2.5025
2011-12-20,2.585
2011-12-22,2.6431
2011-12-23,2.6999
2011-12-27,2.6775
2011-12-28,2.649
2011-12-29,2.6794
2011-12-30,2.6729
2012-01-03,2.7535
2012-01-04,2.7799
2012-01-05,2.7318
2012-01-06,2.7645
2012-01-09,2.7558
2012-01-10,2.786
2012-01-11,2.7702
2012-01-12,2.738
2012-01-13,2.7488
2012-01-17,2.7787
2012-01-18,2.829
2012-01-19,2.82
2012-01-20,2.7855
2012-01-23,2.7831
2012-01-24,2.8155
2012-01-25,2.846
2012-01-26,2.8455
2012-01-27,2.9273
2012-01-30,2.8744
2012-01-31,2.883
2012-02-01,2.8875
2012-02-02,2.8814
2012-02-03,2.9191
2012-02-06,2.9426
2012-02-07,2.9224
2012-02-08,2.9827
2012-02-09,3.015
2012-02-10,2.985
2012-02-13,3.0135
2012-02-14,2.9925
2012-02-15,3.01
2012-02-16,3.0385
2012-02-17,3.0281
2012-02-21,3.0625
2012-02-22,3.0877
2012-02-23,3.123
2012-02-24,3.1477
2012-02-27,3.1048
2012-02-28,3.0465
2012-02-29,3.0676
2012-03-01,3.325
2012-03-02,3.2808
2012-03-05,3.2662
2012-03-06,3.2494
2012-03-07,3.2892
2012-03-08,3.3143
2012-03-09,3.3388
2012-03-12,3.3278
2012-03-13,3.3595
2012-03-14,3.3448
2012-03-15,3.284
2012-03-16,3.3612
2012-03-19,3.36
2012-03-20,3.361
2012-03-21,3.3535
2012-03-22,3.3479
2012-03-23,3.382
2012-03-26,3.4161
2012-03-27,3.3907
2012-03-28,3.4054
2012-03-29,3.405
2012-03-30,3.3893
2012-04-02,3.384
2012-04-03,3.41
2012-04-04,3.3288
2012-04-05,3.34
2012-04-09,3.2951
2012-04-10,3.2385
2012-04-11,3.2921
2012-04-12,3.359
2012-04-13,3.3491
2012-04-16,3.2635
2012-04-17,3.2292
2012-04-18,3.213
2012-04-19,3.16
2012-04-20,3.1533
2012-04-23,3.1838
2012-04-24,3.165
2012-04-25,3.1565
2012-04-26,3.1798
2012-04-27,3.204
2012-04-30,3.1805
2012-05-01,3.1031
2012-05-02,3.0811
2012-05-03,3.0485
2012-05-04,2.9838
2012-05-07,2.9842
2012-05-08,3.0135
2012-05-09,3.0153
2012-05-10,2.9976
2012-05-11,3.0005
2012-05-14,2.9478
2012-05-15,2.943
2012-05-16,2.9081
2012-05-17,2.8745
2012-05-18,2.89
2012-05-21,2.9418
2012-05-22,2.9439
2012-05-23,2.89
2012-05-24,2.881
2012-05-25,2.891
2012-05-29,2.9223
2012-05-30,2.8368
2012-05-31,2.814
2012-06-01,2.662
2012-06-04,2.6752
2012-06-05,2.6779
2012-06-06,2.6977
2012-06-07,2.6659
2012-06-08,2.6925
2012-06-11,2.6285
2012-06-12,2.6545
2012-06-13,2.6515
2012-06-14,2.6903
2012-06-15,2.7
2012-06-18,2.6535
2012-06-19,2.6384
2012-06-20,2.5881
2012-06-21,2.5508
2012-06-22,2.595
2012-06-25,2.6524
2012-06-26,2.6545
2012-06-27,2.6318
2012-06-28,2.6175
2012-06-29,2.7425
2012-07-02,2.6219
2012-07-03,2.7286
2012-07-05,2.7475
2012-07-06,2.715
2012-07-09,2.7647
2012-07-10,2.7312
2012-07-11,2.7758
2012-07-12,2.802
2012-07-13,2.81
2012-07-16,2.8553
2012-07-17,2.8475
2012-07-18,2.8879
2012-07-19,2.9323
2012-07-20,2.942
2012-07-23,2.875
2012-07-24,2.7989
2012-07-25,2.8015
2012-07-26,2.8185
2012-07-27,2.8913
2012-07-30,2.9245
2012-07-31,2.9101
2012-08-01,2.8326
2012-08-02,2.8655
2012-08-03,2.9299
2012-08-06,2.9243
2012-08-07,2.986
2012-08-08,2.9715
2012-08-09,3.0123
2012-08-10,3.02
2012-08-13,2.9945
2012-08-14,3.0113
2012-08-15,3.0753
2012-08-16,3.0573
2012-08-17,3.0287
2012-08-20,3.0308
2012-08-21,3.0643
2012-08-22,3.1127
2012-08-23,3.111
2012-08-24,3.071
2012-08-27,3.1575
2012-08-28,3.1294
2012-08-29,3.1065
2012-08-30,3.079
